nam	thang	ngay	nhiet_do-hien_tai	nhiet_do_hom_qua	do_chinh_xac	pham_vi_chinh_xac
2024	03	12	35	36	1	exellent
2024	03	13	36	35	-1	exellent
2024	03	14	33	37	4	poor
2024	03	15	32	36	4	poor
2024	03	17	35	31	-4	poor
2024	03	18	35	34	-1	exellent
2024	03	19	26	37	11	poor
2024	03	20	30	36	6	poor
2024	03	21	26	37	11	poor
2024	03	22	34	36	2	good
2024	03	23	34	37	3	fair
2024	03	24	38	37	-1	exellent
2024	03	25	39	37	-2	good
2024	03	26	32	38	6	poor
2024	03	27	35	38	3	fair
2024	03	28	37	35	-2	good
2024	03	30	35	37	2	good
2024	03	31	32	38	6	poor
